# FILE CREATED WITH PSI-BOIL
# CELLCENTERED FORMAT 
# I-RANGE 1 100
# J-RANGE 1 100
# K-RANGE 1 4
VARIABLES="X" "Y" "Z" "U" "V" "W" "A" 
 ZONE I=101, J=101, K=5 DATAPACKING=BLOCK, VARLOCATION=([4-7]=CELLCENTERED)
# X-COORDINATES
0 0.002 0.004 0.006 0.008 0.01 0.012 0.014 
0.016 0.018 0.02 0.022 0.024 0.026 0.028 0.03 
0.032 0.034 0.036 0.038 0.04 0.042 0.044 0.046 
0.048 0.05 0.052 0.054 0.056 0.058 0.06 0.062 
0.064 0.066 0.068 0.07 0.072 0.074 0.076 0.078 
0.08 0.082 0.084 0.086 0.088 0.09 0.092 0.094 
0.096 0.098 0.1 0.102 0.104 0.106 0.108 0.11 
0.112 0.114 0.116 0.118 0.12 0.122 0.124 0.126 
0.128 0.13 0.132 0.134 0.136 0.138 0.14 0.142 
0.144 0.146 0.148 0.15 0.152 0.154 0.156 0.158 
0.16 0.162 0.164 0.166 0.168 0.17 0.172 0.174 
0.176 0.178 0.18 0.182 0.184 0.186 0.188 0.19 
0.192 0.194 0.196 0.198 0.2 0 0.002 0.004 
0.006 0.008 0.01 0.012 0.014 0.016 0.018 0.02 
0.022 0.024 0.026 0.028 0.03 0.032 0.034 0.036 
0.038 0.04 0.042 0.044 0.046 0.048 0.05 0.052 
0.054 0.056 0.058 0.06 0.062 0.064 0.066 0.068 
0.07 0.072 0.074 0.076 0.078 0.08 0.082 0.084 
0.086 0.088 0.09 0.092 0.094 0.096 0.098 0.1 
0.102 0.104 0.106 0.108 0.11 0.112 0.114 0.116 
0.118 0.12 0.122 0.124 0.126 0.128 0.13 0.132 
0.134 0.136 0.138 0.14 0.142 0.144 0.146 0.148 
0.15 0.152 0.154 0.156 0.158 0.16 0.162 0.164 
0.166 0.168 0.17 0.172 0.174 0.176 0.178 0.18 
0.182 0.184 0.186 0.188 0.19 0.192 0.194 0.196 
0.198 0.2 0 0.002 0.004 0.006 0.008 0.01 
0.012 0.014 0.016 0.018 0.02 0.022 0.024 0.026 
0.028 0.03 0.032 0.034 0.036 0.038 0.04 0.042 
0.044 0.046 0.048 0.05 0.052 0.054 0.056 0.058 
0.06 0.062 0.064 0.066 0.068 0.07 0.072 0.074 
0.076 0.078 0.08 0.082 0.084 0.086 0.088 0.09 
0.092 0.094 0.096 0.098 0.1 0.102 0.104 0.106 
0.108 0.11 0.112 0.114 0.116 0.118 0.12 0.122 
0.124 0.126 0.128 0.13 0.132 0.134 0.136 0.138 
0.14 0.142 0.144 0.146 0.148 0.15 0.152 0.154 
0.156 0.158 0.16 0.162 0.164 0.166 0.168 0.17 
0.172 0.174 0.176 0.178 0.18 0.182 0.184 0.186 
0.188 0.19 0.192 0.194 0.196 0.198 0.2 0 
0.002 0.004 0.006 0.008 0.01 0.012 0.014 0.016 
0.018 0.02 0.022 0.024 0.026 0.028 0.03 0.032 
0.034 0.036 0.038 0.04 0.042 0.044 0.046 0.048 
0.05 0.052 0.054 0.056 0.058 0.06 0.062 0.064 
0.066 0.068 0.07 0.072 0.074 0.076 0.078 0.08 
0.082 0.084 0.086 0.088 0.09 0.092 0.094 0.096 
0.098 0.1 0.102 0.104 0.106 0.108 0.11 0.112 
0.114 0.116 0.118 0.12 0.122 0.124 0.126 0.128 
0.13 0.132 0.134 0.136 0.138 0.14 0.142 0.144 
0.146 0.148 0.15 0.152 0.154 0.156 0.158 0.16 
0.162 0.164 0.166 0.168 0.17 0.172 0.174 0.176 
0.178 0.18 0.182 0.184 0.186 0.188 0.19 0.192 
0.194 0.196 0.198 0.2 0 0.002 0.004 0.006 
0.008 0.01 0.012 0.014 0.016 0.018 0.02 0.022 
0.024 0.026 0.028 0.03 0.032 0.034 0.036 0.038 
0.04 0.042 0.044 0.046 0.048 0.05 0.052 0.054 
0.056 0.058 0.06 0.062 0.064 0.066 0.068 0.07 
0.072 0.074 0.076 0.078 0.08 0.082 0.084 0.086 
0.088 0.09 0.092 0.094 0.096 0.098 0.1 0.102 
0.104 0.106 0.108 0.11 0.112 0.114 0.116 0.118 
0.12 0.122 0.124 0.126 0.128 0.13 0.132 0.134 
0.136 0.138 0.14 0.142 0.144 0.146 0.148 0.15 
0.152 0.154 0.156 0.158 0.16 0.162 0.164 0.166 
0.168 0.17 0.172 0.174 0.176 0.178 0.18 0.182 
0.184 0.186 0.188 0.19 0.192 0.194 0.196 0.198 
0.2 0 0.002 0.004 0.006 0.008 0.01 0.012 
0.014 0.016 0.018 0.02 0.022 0.024 0.026 0.028 
0.03 0.032 0.034 0.036 0.038 0.04 0.042 0.044 
0.046 0.048 0.05 0.052 0.054 0.056 0.058 0.06 
0.062 0.064 0.066 0.068 0.07 0.072 0.074 0.076 
